param,i,j,value
w,0,0,0.2146058053
w,1,1,0.2146058053
w,2,2,0.2146058053
e,0,0,0.0308453144
e,1,1,0.0308453144
e,2,2,0.0308453144
d,0,0,0.5375436873
d,0,1,0.5375436873
d,0,2,0.5375436873
d,1,0,0.5375436873
d,1,1,0.5375436873
d,1,2,0.5375436873
d,2,0,0.5375436873
d,2,1,0.5375436873
d,2,2,0.5375436873
b,0,0,0.1832135564
b,0,1,0.1832135564
b,0,2,0.1832135564
b,1,0,0.1832135564
b,1,1,0.1832135564
b,1,2,0.1832135564
b,2,0,0.1832135564
b,2,1,0.1832135564
b,2,2,0.1832135564
x,0,0,0.0308453144
x,1,1,0.0308453144
x,2,2,0.0308453144
