param,i,j,value
w,0,0,0.3130889739
w,1,1,0.3130889739
w,2,2,0.3130889739
e,0,0,0.004386729
e,1,1,0.004386729
e,2,2,0.004386729
d,0,0,0.039006561
d,0,1,0.039006561
d,0,2,0.039006561
d,1,0,0.039006561
d,1,1,0.039006561
d,1,2,0.039006561
d,2,0,0.039006561
d,2,1,0.039006561
d,2,2,0.039006561
b,0,0,0.2633507619
b,0,1,0.2633507619
b,0,2,0.2633507619
b,1,0,0.2633507619
b,1,1,0.2633507619
b,1,2,0.2633507619
b,2,0,0.2633507619
b,2,1,0.2633507619
b,2,2,0.2633507619
x,0,0,0.004386729
x,1,1,0.004386729
x,2,2,0.004386729
