param,i,j,value
w,0,0,0.1274845194
w,1,1,0.1274845194
w,2,2,0.1274845194
e,0,0,0.0549661686
e,1,1,0.0549661686
e,2,2,0.0549661686
d,0,0,0.0584470818
d,0,1,0.0584470818
d,0,2,0.0584470818
d,1,0,0.0584470818
d,1,1,0.0584470818
d,1,2,0.0584470818
d,2,0,0.0584470818
d,2,1,0.0584470818
d,2,2,0.0584470818
b,0,0,0.0997826643
b,0,1,0.0997826643
b,0,2,0.0997826643
b,1,0,0.0997826643
b,1,1,0.0997826643
b,1,2,0.0997826643
b,2,0,0.0997826643
b,2,1,0.0997826643
b,2,2,0.0997826643
x,0,0,0.0549661686
x,1,1,0.0549661686
x,2,2,0.0549661686
