param,i,j,value
w,0,0,0.6577815145
w,1,1,0.6577815145
w,2,2,0.6577815145
e,0,0,0.0493595782
e,1,1,0.0493595782
e,2,2,0.0493595782
d,0,0,0.0940959658
d,0,1,0.0940959658
d,0,2,0.0940959658
d,1,0,0.0940959658
d,1,1,0.0940959658
d,1,2,0.0940959658
d,2,0,0.0940959658
d,2,1,0.0940959658
d,2,2,0.0940959658
b,0,0,0.4993642632
b,0,1,0.4993642632
b,0,2,0.4993642632
b,1,0,0.4993642632
b,1,1,0.4993642632
b,1,2,0.4993642632
b,2,0,0.4993642632
b,2,1,0.4993642632
b,2,2,0.4993642632
x,0,0,0.0493595782
x,1,1,0.0493595782
x,2,2,0.0493595782
