param,i,j,value
w,0,0,0.1548641938
w,1,1,0.1548641938
w,2,2,0.1548641938
e,0,0,0.0465054172
e,1,1,0.0465054172
e,2,2,0.0465054172
d,0,0,0.1882689736
d,0,1,0.1882689736
d,0,2,0.1882689736
d,1,0,0.1882689736
d,1,1,0.1882689736
d,1,2,0.1882689736
d,2,0,0.1882689736
d,2,1,0.1882689736
d,2,2,0.1882689736
b,0,0,0.2237278452
b,0,1,0.2237278452
b,0,2,0.2237278452
b,1,0,0.2237278452
b,1,1,0.2237278452
b,1,2,0.2237278452
b,2,0,0.2237278452
b,2,1,0.2237278452
b,2,2,0.2237278452
x,0,0,0.0465054172
x,1,1,0.0465054172
x,2,2,0.0465054172
