param,i,j,value
r_e,0,0,0.01115011557912446
r_e,1,1,0.12479940004738158
r_e,2,2,0.0259500628604311
r_w,0,0,0.05964526657433673
r_w,1,1,0.031247397540946784
r_w,2,2,0.007981353684241443
r_b,0,0,0.0798845876557227
r_b,0,1,0.15095270767602711
r_b,0,2,0.23033748951463298
r_b,1,0,0.004886627195321292
r_b,1,1,0.09294587640846635
r_b,1,2,0.028752188504896654
r_b,2,0,0.17174881902718742
r_b,2,1,0.17325762734106512
r_b,2,2,0.053566063884620846
r_d,0,0,0.02884045935499509
r_d,0,1,0.05525018550577435
r_d,0,2,0.004521870376577158
r_d,1,0,0.07436505237134358
r_d,1,1,0.0962442681958887
r_d,1,2,0.3262578303745605
r_d,2,0,0.030389171582273024
r_d,2,1,0.11220619365240217
r_d,2,2,0.03269598080596636
