param,i,j,value
r_e,0,0,0.21636441363645706
r_e,1,1,0.11524759353050243
r_e,2,2,0.09680747397576113
r_w,0,0,0.024680982565276115
r_w,1,1,0.05878753170066863
r_w,2,2,0.08606388067062312
r_b,0,0,0.08953425094292804
r_b,0,1,0.027593730602645125
r_b,0,2,0.17141294171945654
r_b,1,0,0.17736731802555838
r_b,1,1,0.12634963959626952
r_b,1,2,0.13446482545517474
r_b,2,0,0.012285073076775038
r_b,2,1,0.1596280680885295
r_b,2,2,0.030809409424788572
r_d,0,0,0.09803534149523177
r_d,0,1,0.23254050786037356
r_d,0,2,0.03527519368897239
r_d,1,0,0.028874810191315877
r_d,1,1,0.11205867995019579
r_d,1,2,0.04758565825654152
r_d,2,0,0.006937571829909977
r_d,2,1,0.010584257224096614
r_d,2,2,0.07457330816382539
