param,i,j,value
r_e,0,0,0.07981772976154405
r_e,1,1,0.14229056680615365
r_e,2,2,0.18202988237756468
r_w,0,0,0.12738813952655897
r_w,1,1,0.10511801170830513
r_w,2,2,0.04069835605805963
r_b,0,0,0.027502489630324152
r_b,0,1,0.1353184444514046
r_b,0,2,0.10212594938907632
r_b,1,0,0.026794768242607403
r_b,1,1,0.06885411321735652
r_b,1,2,0.1739322484467556
r_b,2,0,0.018863966594738397
r_b,2,1,0.007242580631688218
r_b,2,2,0.053767130228771526
r_d,0,0,0.16989857178013285
r_d,0,1,0.18252011417227706
r_d,0,2,0.020097754359450475
r_d,1,0,0.07745153327623346
r_d,1,1,0.08228286200090452
r_d,1,2,0.11780563036092194
r_d,2,0,0.00794880560915567
r_d,2,1,0.018136762393670035
r_d,2,2,0.08184444879708626
