param,i,j,value
r_e,0,0,0.05375426078511595
r_e,1,1,0.08155106571319051
r_e,2,2,0.3335774752057507
r_w,0,0,0.20384053692110388
r_w,1,1,0.19171055164403306
r_w,2,2,0.04858042555399339
r_b,0,0,0.19323590324974652
r_b,0,1,0.019246461309435463
r_b,0,2,0.13743637777434095
r_b,1,0,0.23059384087049187
r_b,1,1,0.021030181639177074
r_b,1,2,0.23486978803825795
r_b,2,0,0.19233901079291488
r_b,2,1,0.0948592008992501
r_b,2,2,0.37786613960423177
r_d,0,0,0.06713899739110257
r_d,0,1,0.18177778672079759
r_d,0,2,0.024009149756712787
r_d,1,0,0.14822962253806157
r_d,1,1,0.05377254940036962
r_d,1,2,0.023199549946481494
r_d,2,0,0.02094820392899314
r_d,2,1,0.016385093497872084
r_d,2,2,0.09798875617832196
