param,i,j,value
r_e,0,0,0.0739281597324066
r_e,1,1,0.0058551392089892925
r_e,2,2,0.09433984125971057
r_w,0,0,0.00811163211573876
r_w,1,1,0.29372227428184855
r_w,2,2,0.05118931197847485
r_b,0,0,0.01679944669764231
r_b,0,1,0.027162097708955252
r_b,0,2,0.004480739900605204
r_b,1,0,0.06021432711404713
r_b,1,1,0.1497311472369712
r_b,1,2,0.15261705812968407
r_b,2,0,0.08478847844699694
r_b,2,1,0.33468817473070556
r_b,2,2,0.19315622899337934
r_d,0,0,0.17781237023425833
r_d,0,1,0.11551070929609847
r_d,0,2,0.03786783829815707
r_d,1,0,0.09854505598543561
r_d,1,1,0.07123983807567258
r_d,1,2,0.0982007543113391
r_d,2,0,0.024518676234443364
r_d,2,1,0.1204442473382516
r_d,2,2,0.13094204388298056
