param,i,j,value
r_e,0,0,0.03130885493793369
r_e,1,1,0.0599032238651179
r_e,2,2,0.002818733874545645
r_w,0,0,0.029171589657237526
r_w,1,1,0.08041637463196308
r_w,2,2,0.34551307747536386
r_b,0,0,0.17181886931728563
r_b,0,1,0.3199178077646233
r_b,0,2,0.04205537393433967
r_b,1,0,0.2119712849632158
r_b,1,1,0.1675892433101248
r_b,1,2,0.02489970055486429
r_b,2,0,0.010449206867273124
r_b,2,1,0.0045283453817766975
r_b,2,2,0.07325922584205849
r_d,0,0,0.0008347743812580024
r_d,0,1,0.06753618494833201
r_d,0,2,0.18816044286998113
r_d,1,0,0.05300128486173197
r_d,1,1,0.05018369403200042
r_d,1,2,0.1265784500439106
r_d,2,0,0.11241820241336907
r_d,2,1,0.060365369696444265
r_d,2,2,0.011164487772810787
