param,i,j,value
r_e,0,0,0.08395618517330301
r_e,1,1,0.09267550937517256
r_e,2,2,0.02746869526905127
r_w,0,0,0.01721509100156386
r_w,1,1,0.10832643296416461
r_w,2,2,0.04190827753202478
r_b,0,0,0.0006031655589434024
r_b,0,1,0.02808724630458069
r_b,0,2,0.03904114339278606
r_b,1,0,0.07131283917391629
r_b,1,1,0.2771622140673466
r_b,1,2,0.012560003199447277
r_b,2,0,0.06884533443141687
r_b,2,1,0.04854848213502061
r_b,2,2,0.12056522453743874
r_d,0,0,0.08715517961336369
r_d,0,1,0.26122926665085866
r_d,0,2,0.10825169942176588
r_d,1,0,0.22590017695550696
r_d,1,1,0.1385906711957843
r_d,1,2,0.4011647693728755
r_d,2,0,0.11748288897957122
r_d,2,1,0.03355751757535237
r_d,2,2,0.0332472697229354
