param,i,j,value
r_e,0,0,0.11781991578040096
r_e,1,1,0.01262405881199037
r_e,2,2,0.37413346416455295
r_w,0,0,0.02536651391195124
r_w,1,1,0.1737220208694451
r_w,2,2,0.10585364473029885
r_b,0,0,0.10547979429111876
r_b,0,1,0.11598024855477757
r_b,0,2,0.32516842416897646
r_b,1,0,0.030175461826659686
r_b,1,1,0.0758640541780904
r_b,1,2,0.056224685258810726
r_b,2,0,0.30059700170924736
r_b,2,1,0.10622942398647782
r_b,2,2,0.4447143272691655
r_d,0,0,0.02009913041613296
r_d,0,1,0.03349058813483725
r_d,0,2,0.0921094920876199
r_d,1,0,0.08084943103509684
r_d,1,1,0.17431838650477682
r_d,1,2,0.037558931038083776
r_d,2,0,0.1868741242793604
r_d,2,1,0.16005406313066695
r_d,2,2,0.08399354879433639
