param,i,j,value
r_e,0,0,0.04239397544152274
r_e,1,1,0.08633115693941489
r_e,2,2,0.06765400558842889
r_w,0,0,0.08596377052825015
r_w,1,1,0.11535455889596663
r_w,2,2,0.02769722570384793
r_b,0,0,0.03133521057161994
r_b,0,1,0.06330399628597798
r_b,0,2,0.10002974356963307
r_b,1,0,0.09852885423149965
r_b,1,1,0.019731787221883026
r_b,1,2,0.028786555112218087
r_b,2,0,0.053361987609900435
r_b,2,1,0.27147863003940637
r_b,2,2,0.05180036019327129
r_d,0,0,0.01055885882952734
r_d,0,1,0.24937752381319755
r_d,0,2,0.10615880748446899
r_d,1,0,0.011820723944293066
r_d,1,1,0.03374035666336005
r_d,1,2,0.17399668241010155
r_d,2,0,0.0847387434543694
r_d,2,1,0.03164297054596277
r_d,2,2,0.2889628728430976
