param,i,j,value
r_e,0,0,0.10566420876330039
r_e,1,1,0.016169930367624163
r_e,2,2,0.02047102175223342
r_w,0,0,0.014735692367002779
r_w,1,1,0.007380714176844838
r_w,2,2,0.005652084308457056
r_b,0,0,0.033793875613688885
r_b,0,1,0.05446656969710506
r_b,0,2,0.06122917291874726
r_b,1,0,0.10258139132031688
r_b,1,1,0.06172951258324563
r_b,1,2,0.26600026257136894
r_b,2,0,0.07154682553416486
r_b,2,1,0.007769995435733233
r_b,2,2,0.13801569923983922
r_d,0,0,0.010269228221645265
r_d,0,1,0.036321601532278855
r_d,0,2,0.08059597319658122
r_d,1,0,0.1593985524045812
r_d,1,1,0.02684928697131376
r_d,1,2,0.03510667170643578
r_d,2,0,0.23128110167737947
r_d,2,1,0.09319833400420634
r_d,2,2,0.1304263273112851
