param,i,j,value
r_e,0,0,0.11862842555426756
r_e,1,1,0.05517661731370913
r_e,2,2,0.05903567132454451
r_w,0,0,0.19853362891788498
r_w,1,1,0.09647536553233316
r_w,2,2,0.2999419173153424
r_b,0,0,0.028138668437319877
r_b,0,1,0.0989010510555618
r_b,0,2,0.21950387144267214
r_b,1,0,0.028969410386864194
r_b,1,1,0.028932981792478066
r_b,1,2,0.05174041012925904
r_b,2,0,0.09237848399793501
r_b,2,1,0.16454011339262004
r_b,2,2,0.12687330058578913
r_d,0,0,0.07029778690391493
r_d,0,1,0.010201463463702619
r_d,0,2,0.023898616767011254
r_d,1,0,0.033446884160209835
r_d,1,1,0.038012235550828596
r_d,1,2,0.045887891488212575
r_d,2,0,0.03697279843061424
r_d,2,1,0.3239318443000333
r_d,2,2,0.1413944733819738
