param,i,j,value
r_e,0,0,0.07280537015828915
r_e,1,1,0.13601143752690908
r_e,2,2,0.16225228728948252
r_w,0,0,0.07421707845262863
r_w,1,1,0.17972831109670323
r_w,2,2,0.022069604874532925
r_b,0,0,0.059600931619036325
r_b,0,1,0.12472086422453826
r_b,0,2,0.029825057757508808
r_b,1,0,0.010781610752201215
r_b,1,1,0.0011475190749352614
r_b,1,2,0.010860602098659015
r_b,2,0,0.030366031870602595
r_b,2,1,0.0762116678754108
r_b,2,2,0.0059991018751600666
r_d,0,0,0.0428704284023339
r_d,0,1,0.08250542178587877
r_d,0,2,0.06531595208593126
r_d,1,0,0.16164948720721278
r_d,1,1,0.07233301241945357
r_d,1,2,0.14735416036095042
r_d,2,0,0.09499674789699711
r_d,2,1,0.11327845151217486
r_d,2,2,0.004290439567179514
