param,i,j,value
r_e,0,0,0.14340673075312865
r_e,1,1,0.32196533448167575
r_e,2,2,0.0656211891136842
r_w,0,0,0.1393867135134271
r_w,1,1,0.021204673736527496
r_w,2,2,0.09526038091580388
r_b,0,0,0.02325162216022234
r_b,0,1,0.4455753879939498
r_b,0,2,0.03756130997660955
r_b,1,0,0.05003913394614378
r_b,1,1,0.051357113575415884
r_b,1,2,0.013118114268915779
r_b,2,0,0.3603939084129015
r_b,2,1,0.36219931510294967
r_b,2,2,0.06503823604105134
r_d,0,0,0.00047687263866360186
r_d,0,1,0.2907166720997937
r_d,0,2,0.08985341834714536
r_d,1,0,0.05465517945646681
r_d,1,1,0.22108483847804244
r_d,1,2,0.1332760990689067
r_d,2,0,0.30495210763883235
r_d,2,1,0.05400634871795647
r_d,2,2,0.03964934822426644
