param,i,j,value
r_e,0,0,0.061543448038643915
r_e,1,1,0.33500909619795505
r_e,2,2,0.031276395433556745
r_w,0,0,0.19951399341833442
r_w,1,1,0.0003746093685077477
r_w,2,2,0.07655435350568053
r_b,0,0,0.1128770255130978
r_b,0,1,0.21449203847948023
r_b,0,2,0.04061473136538989
r_b,1,0,0.0273830425776768
r_b,1,1,0.25055860386098655
r_b,1,2,0.06320929908705028
r_b,2,0,0.04852308015954568
r_b,2,1,0.05783266079630994
r_b,2,2,0.06835854262729958
r_d,0,0,0.00022560680718500356
r_d,0,1,0.04779030366115696
r_d,0,2,0.2381116998219207
r_d,1,0,0.06475052065359375
r_d,1,1,0.05592054272098876
r_d,1,2,0.35082343067445876
r_d,2,0,0.07694581550042857
r_d,2,1,0.00035261917489009934
r_d,2,2,0.11352410805954326
