param,i,j,value
r_e,0,0,0.15459502323208002
r_e,1,1,0.026752792684343593
r_e,2,2,0.00238246024657115
r_w,0,0,0.0611378461067595
r_w,1,1,0.019503214039841066
r_w,2,2,0.2730531052127112
r_b,0,0,0.1454523610406966
r_b,0,1,0.007453804810811263
r_b,0,2,0.030212130405709515
r_b,1,0,0.07071963001670148
r_b,1,1,0.335568191305924
r_b,1,2,0.11692909118532019
r_b,2,0,0.0768917435108506
r_b,2,1,0.10610798193423608
r_b,2,2,0.02622316227598019
r_d,0,0,0.05585710357988519
r_d,0,1,0.18172939994951987
r_d,0,2,0.012248870605395616
r_d,1,0,0.039610533834452274
r_d,1,1,0.09872513751494887
r_d,1,2,0.2304389672976821
r_d,2,0,0.13807770793373236
r_d,2,1,0.296279772840136
r_d,2,2,0.05094425190222488
