param,i,j,value
r_e,0,0,0.0485591502143606
r_e,1,1,0.017869053023249162
r_e,2,2,0.034723171475619895
r_w,0,0,0.07859559842251894
r_w,1,1,0.2882179110408733
r_w,2,2,0.011003222900045243
r_b,0,0,0.031011210478467416
r_b,0,1,0.11190737848978186
r_b,0,2,0.02231819471247095
r_b,1,0,0.05746327679563079
r_b,1,1,0.03725868092021939
r_b,1,2,0.2240430023073651
r_b,2,0,0.31588915463955003
r_b,2,1,0.005236136167383264
r_b,2,2,0.020876117034247132
r_d,0,0,0.019907939517318573
r_d,0,1,0.005524650420123123
r_d,0,2,0.20142502141329174
r_d,1,0,0.1948299698308051
r_d,1,1,0.23187312461961082
r_d,1,2,0.0352605900056444
r_d,2,0,0.06912358679432856
r_d,2,1,0.006909818296067974
r_d,2,2,0.2911799107891105
