param,i,j,value
r_e,0,0,0.004764855119374267
r_e,1,1,0.013911092514099069
r_e,2,2,0.09553263877672152
r_w,0,0,0.5194990606044247
r_w,1,1,0.030463594498689336
r_w,2,2,0.10658314364651966
r_b,0,0,0.1928721180153044
r_b,0,1,0.15701865396789141
r_b,0,2,0.012575004396589859
r_b,1,0,0.13509890659522117
r_b,1,1,0.012967347633282295
r_b,1,2,0.14930280928544384
r_b,2,0,0.01643244095026734
r_b,2,1,0.05710045934458705
r_b,2,2,0.044478671304604415
r_d,0,0,0.15763844666131718
r_d,0,1,0.1195334926670571
r_d,0,2,0.22967846969154238
r_d,1,0,0.03109529655054133
r_d,1,1,0.058791320324899414
r_d,1,2,0.020951194780729144
r_d,2,0,0.3380434738276877
r_d,2,1,0.17375400793163068
r_d,2,2,0.033764696643361215
