param,i,j,value
r_e,0,0,0.18277342571211774
r_e,1,1,0.019487658431722107
r_e,2,2,0.05426287217264049
r_w,0,0,0.08473214764969778
r_w,1,1,0.0882333529964565
r_w,2,2,0.04829812296842251
r_b,0,0,0.033726292457079275
r_b,0,1,0.05894926644191607
r_b,0,2,0.04277764350767773
r_b,1,0,0.027514376005157666
r_b,1,1,0.14241125037690194
r_b,1,2,0.09129694170915903
r_b,2,0,0.0007336209145212073
r_b,2,1,0.24871607218657885
r_b,2,2,0.11854806452161862
r_d,0,0,0.18044814777363954
r_d,0,1,0.4051423416500799
r_d,0,2,0.026440525943608708
r_d,1,0,0.17644467913923684
r_d,1,1,0.030199160469219985
r_d,1,2,0.07719935310905571
r_d,2,0,0.03328216386303944
r_d,2,1,0.025289912388230158
r_d,2,2,0.13093072733449151
