param,i,j,value
r_e,0,0,0.1958675307302625
r_e,1,1,0.12768935044100438
r_e,2,2,0.033226574818093574
r_w,0,0,0.125431653016695
r_w,1,1,0.07579901673709481
r_w,2,2,0.02771535922347389
r_b,0,0,0.13532196675079003
r_b,0,1,0.2528635871793203
r_b,0,2,0.0005536903198127072
r_b,1,0,0.017892373764481603
r_b,1,1,0.1307203583448813
r_b,1,2,0.008089035618519182
r_b,2,0,0.025097963345879062
r_b,2,1,0.38444217851121315
r_b,2,2,0.17167578073254003
r_d,0,0,0.013385717596439207
r_d,0,1,0.1667870285276427
r_d,0,2,0.21134728996948807
r_d,1,0,0.14656627875522477
r_d,1,1,0.5208600970669778
r_d,1,2,0.4894130240776018
r_d,2,0,0.045122971916202126
r_d,2,1,0.16717465102882348
r_d,2,2,0.04171275169197302
