param,i,j,value
r_e,0,0,0.05819581976300331
r_e,1,1,0.16324547839691217
r_e,2,2,0.08897798034293666
r_w,0,0,0.2429596966751559
r_w,1,1,0.07083380456528687
r_w,2,2,0.10805536287971924
r_b,0,0,0.038812293257523764
r_b,0,1,0.09149416797944088
r_b,0,2,0.05167532980433553
r_b,1,0,0.041999336542611364
r_b,1,1,0.12178770643242878
r_b,1,2,0.01821244857228765
r_b,2,0,0.07161883432227881
r_b,2,1,0.04400559610362789
r_b,2,2,0.502807218901785
r_d,0,0,0.31366011812507427
r_d,0,1,0.2129292600141362
r_d,0,2,0.15375488781482502
r_d,1,0,0.20611871379742533
r_d,1,1,0.11181328279304187
r_d,1,2,0.023162413504491264
r_d,2,0,0.09340168327533858
r_d,2,1,0.020235103720637568
r_d,2,2,0.013051389031699038
