param,i,j,value
r_e,0,0,0.09997522895236471
r_e,1,1,0.07369640982399432
r_e,2,2,0.30047817195830323
r_w,0,0,0.37382829246309623
r_w,1,1,0.16331980715686137
r_w,2,2,0.024265737506220266
r_b,0,0,0.04951446883744836
r_b,0,1,0.13129881751135627
r_b,0,2,0.0034093143367673914
r_b,1,0,0.13614267174866798
r_b,1,1,0.05028554727822419
r_b,1,2,0.04930885763636564
r_b,2,0,0.1887591544752956
r_b,2,1,0.008948040340475394
r_b,2,2,0.016852812259483176
r_d,0,0,0.17031874850902054
r_d,0,1,0.021981137678954186
r_d,0,2,0.03436045584462221
r_d,1,0,0.06507508258946164
r_d,1,1,0.03790884156037427
r_d,1,2,0.05305660991878978
r_d,2,0,0.1353431088388417
r_d,2,1,0.15067845094386606
r_d,2,2,0.4250186825845207
