param,i,j,value
r_e,0,0,0.04771991885681616
r_e,1,1,0.10131494923455049
r_e,2,2,0.11730670345679624
r_w,0,0,0.03281747773755393
r_w,1,1,0.18808575433931085
r_w,2,2,0.020124897749376043
r_b,0,0,0.01752702227431599
r_b,0,1,0.03242083630133872
r_b,0,2,0.01617162954457892
r_b,1,0,0.2109518900339071
r_b,1,1,0.027824170767189866
r_b,1,2,0.19346021278334352
r_b,2,0,0.20683169343281527
r_b,2,1,0.2683993133729676
r_b,2,2,0.0008407227315617637
r_d,0,0,0.1699601054051919
r_d,0,1,0.04192271482431824
r_d,0,2,0.0058458957353930315
r_d,1,0,0.10044150012427587
r_d,1,1,0.015286314791491918
r_d,1,2,0.40284301581937554
r_d,2,0,0.021204882380217237
r_d,2,1,0.0828088657429677
r_d,2,2,0.06936319740999417
