param,i,j,value
r_e,0,0,0.15624830489270117
r_e,1,1,0.026912412048966324
r_e,2,2,0.08697398101448454
r_w,0,0,0.06278944743318701
r_w,1,1,0.4765853249744842
r_w,2,2,0.014634199989839045
r_b,0,0,0.061553668418519274
r_b,0,1,0.07179570788406932
r_b,0,2,0.06099426909462063
r_b,1,0,0.058874904157920155
r_b,1,1,0.18824688330422812
r_b,1,2,0.20531070788223138
r_b,2,0,0.04307629498476514
r_b,2,1,0.1547758254184881
r_b,2,2,0.07547911448905598
r_d,0,0,0.21459446836081275
r_d,0,1,0.09345469497022986
r_d,0,2,0.06488275217856161
r_d,1,0,0.40343130178503445
r_d,1,1,0.04296476745184511
r_d,1,2,0.008852584430975646
r_d,2,0,0.12111270804496621
r_d,2,1,0.045826903761283455
r_d,2,2,0.08803363568189039
