param,i,j,value
r_e,0,0,0.006128637688345434
r_e,1,1,0.002461351519758523
r_e,2,2,0.181664991933267
r_w,0,0,0.2666115740290579
r_w,1,1,0.01698668596331168
r_w,2,2,0.07958808782906507
r_b,0,0,0.027070839240649125
r_b,0,1,0.38830701329642
r_b,0,2,0.027550899211544844
r_b,1,0,0.27138773260595944
r_b,1,1,0.2908400843792189
r_b,1,2,0.0692310787398424
r_b,2,0,0.012156461895659344
r_b,2,1,0.026668335268095384
r_b,2,2,0.10384953134295088
r_d,0,0,0.0018334390008782646
r_d,0,1,0.10530121420017693
r_d,0,2,0.06868287305729402
r_d,1,0,0.1328765292714481
r_d,1,1,0.044222232592578584
r_d,1,2,0.031057457501789867
r_d,2,0,0.07895048890068061
r_d,2,1,0.17033003442214908
r_d,2,2,0.02921930528640096
