param,i,j,value
w,0,0,0.7597653325
w,1,1,0.7597653325
w,2,2,0.7597653325
e,0,0,0.0430798756
e,1,1,0.0430798756
e,2,2,0.0430798756
d,0,0,0.3240199202
d,0,1,0.3240199202
d,0,2,0.3240199202
d,1,0,0.3240199202
d,1,1,0.3240199202
d,1,2,0.3240199202
d,2,0,0.3240199202
d,2,1,0.3240199202
d,2,2,0.3240199202
b,0,0,0.070595864
b,0,1,0.070595864
b,0,2,0.070595864
b,1,0,0.070595864
b,1,1,0.070595864
b,1,2,0.070595864
b,2,0,0.070595864
b,2,1,0.070595864
b,2,2,0.070595864
x,0,0,0.0430798756
x,1,1,0.0430798756
x,2,2,0.0430798756
