param,i,j,value
w,0,0,0.1076024851
w,1,1,0.1076024851
w,2,2,0.1076024851
e,0,0,0.1446976323
e,1,1,0.1446976323
e,2,2,0.1446976323
d,0,0,0.0516555853
d,0,1,0.0516555853
d,0,2,0.0516555853
d,1,0,0.0516555853
d,1,1,0.0516555853
d,1,2,0.0516555853
d,2,0,0.0516555853
d,2,1,0.0516555853
d,2,2,0.0516555853
b,0,0,1.5670856921
b,0,1,1.5670856921
b,0,2,1.5670856921
b,1,0,1.5670856921
b,1,1,1.5670856921
b,1,2,1.5670856921
b,2,0,1.5670856921
b,2,1,1.5670856921
b,2,2,1.5670856921
x,0,0,0.1446976323
x,1,1,0.1446976323
x,2,2,0.1446976323
