param,i,j,value
w,0,0,0.1855189649
w,1,1,0.1855189649
w,2,2,0.1855189649
e,0,0,0.1158648746
e,1,1,0.1158648746
e,2,2,0.1158648746
d,0,0,0.0549641115
d,0,1,0.0549641115
d,0,2,0.0549641115
d,1,0,0.0549641115
d,1,1,0.0549641115
d,1,2,0.0549641115
d,2,0,0.0549641115
d,2,1,0.0549641115
d,2,2,0.0549641115
b,0,0,0.0426184334
b,0,1,0.0426184334
b,0,2,0.0426184334
b,1,0,0.0426184334
b,1,1,0.0426184334
b,1,2,0.0426184334
b,2,0,0.0426184334
b,2,1,0.0426184334
b,2,2,0.0426184334
x,0,0,0.1158648746
x,1,1,0.1158648746
x,2,2,0.1158648746
