param,i,j,value
w,0,0,0.0220029625
w,1,1,0.0220029625
w,2,2,0.0220029625
e,0,0,0.0389656874
e,1,1,0.0389656874
e,2,2,0.0389656874
d,0,0,0.1399540958
d,0,1,0.1399540958
d,0,2,0.1399540958
d,1,0,0.1399540958
d,1,1,0.1399540958
d,1,2,0.1399540958
d,2,0,0.1399540958
d,2,1,0.1399540958
d,2,2,0.1399540958
b,0,0,1.1000740479
b,0,1,1.1000740479
b,0,2,1.1000740479
b,1,0,1.1000740479
b,1,1,1.1000740479
b,1,2,1.1000740479
b,2,0,1.1000740479
b,2,1,1.1000740479
b,2,2,1.1000740479
x,0,0,0.0389656874
x,1,1,0.0389656874
x,2,2,0.0389656874
