param,i,j,value
w,0,0,0.4999430258
w,1,1,0.4999430258
w,2,2,0.4999430258
e,0,0,0.1522330661
e,1,1,0.1522330661
e,2,2,0.1522330661
d,0,0,0.0290166259
d,0,1,0.0290166259
d,0,2,0.0290166259
d,1,0,0.0290166259
d,1,1,0.0290166259
d,1,2,0.0290166259
d,2,0,0.0290166259
d,2,1,0.0290166259
d,2,2,0.0290166259
b,0,0,0.0205765792
b,0,1,0.0205765792
b,0,2,0.0205765792
b,1,0,0.0205765792
b,1,1,0.0205765792
b,1,2,0.0205765792
b,2,0,0.0205765792
b,2,1,0.0205765792
b,2,2,0.0205765792
x,0,0,0.1522330661
x,1,1,0.1522330661
x,2,2,0.1522330661
