param,i,j,value
w,0,0,0.4732218931
w,1,1,0.4732218931
w,2,2,0.4732218931
e,0,0,0.0248353372
e,1,1,0.0248353372
e,2,2,0.0248353372
d,0,0,0.0644984804
d,0,1,0.0644984804
d,0,2,0.0644984804
d,1,0,0.0644984804
d,1,1,0.0644984804
d,1,2,0.0644984804
d,2,0,0.0644984804
d,2,1,0.0644984804
d,2,2,0.0644984804
b,0,0,0.7129794926
b,0,1,0.7129794926
b,0,2,0.7129794926
b,1,0,0.7129794926
b,1,1,0.7129794926
b,1,2,0.7129794926
b,2,0,0.7129794926
b,2,1,0.7129794926
b,2,2,0.7129794926
x,0,0,0.0248353372
x,1,1,0.0248353372
x,2,2,0.0248353372
