param,i,j,value
w,0,0,0.0780146885
w,1,1,0.0780146885
w,2,2,0.0780146885
e,0,0,0.1291105157
e,1,1,0.1291105157
e,2,2,0.1291105157
d,0,0,0.0032050621
d,0,1,0.0032050621
d,0,2,0.0032050621
d,1,0,0.0032050621
d,1,1,0.0032050621
d,1,2,0.0032050621
d,2,0,0.0032050621
d,2,1,0.0032050621
d,2,2,0.0032050621
b,0,0,0.3153905799
b,0,1,0.3153905799
b,0,2,0.3153905799
b,1,0,0.3153905799
b,1,1,0.3153905799
b,1,2,0.3153905799
b,2,0,0.3153905799
b,2,1,0.3153905799
b,2,2,0.3153905799
x,0,0,0.1291105157
x,1,1,0.1291105157
x,2,2,0.1291105157
