param,i,j,value
w,0,0,0.1415058512
w,1,1,0.1415058512
w,2,2,0.1415058512
e,0,0,0.1025203348
e,1,1,0.1025203348
e,2,2,0.1025203348
d,0,0,0.0568548657
d,0,1,0.0568548657
d,0,2,0.0568548657
d,1,0,0.0568548657
d,1,1,0.0568548657
d,1,2,0.0568548657
d,2,0,0.0568548657
d,2,1,0.0568548657
d,2,2,0.0568548657
b,0,0,0.4475549318
b,0,1,0.4475549318
b,0,2,0.4475549318
b,1,0,0.4475549318
b,1,1,0.4475549318
b,1,2,0.4475549318
b,2,0,0.4475549318
b,2,1,0.4475549318
b,2,2,0.4475549318
x,0,0,0.1025203348
x,1,1,0.1025203348
x,2,2,0.1025203348
